run_accession	study_accession
ERR4450774	PRJEB39761
ERR4452719	PRJEB39761
ERR4452734	PRJEB39761
ERR4452736	PRJEB39761
ERR4452737	PRJEB39761
ERR4452738	PRJEB39761
ERR4452739	PRJEB39761
ERR4452740	PRJEB39761
ERR4452741	PRJEB39761
ERR4452742	PRJEB39761
ERR4452743	PRJEB39761
ERR4452744	PRJEB39761
ERR4452745	PRJEB39761
ERR4452746	PRJEB39761
ERR4452747	PRJEB39761
ERR4452748	PRJEB39761
ERR4452749	PRJEB39761
ERR4452751	PRJEB39761
ERR4452752	PRJEB39761
ERR4452753	PRJEB39761
ERR4452754	PRJEB39761
ERR4452755	PRJEB39761
ERR4452756	PRJEB39761
ERR4452757	PRJEB39761
ERR4452758	PRJEB39761
ERR4452759	PRJEB39761
ERR4452760	PRJEB39761
ERR4452762	PRJEB39761
ERR4452763	PRJEB39761
ERR4452764	PRJEB39761
ERR4452765	PRJEB39761
ERR4452766	PRJEB39761
ERR4452767	PRJEB39761
ERR4452768	PRJEB39761
ERR4452769	PRJEB39761
ERR4452770	PRJEB39761
ERR4452771	PRJEB39761
ERR4452772	PRJEB39761
ERR4452773	PRJEB39761
ERR4452774	PRJEB39761
ERR4452775	PRJEB39761
ERR4452776	PRJEB39761
ERR4452779	PRJEB39761
ERR4452780	PRJEB39761
ERR4452781	PRJEB39761
ERR4452783	PRJEB39761
ERR4452784	PRJEB39761
ERR4452785	PRJEB39761
SRR11961362	PRJNA638211
SRR11961363	PRJNA638211
SRR11961364	PRJNA638211
SRR11961365	PRJNA638211
SRR11961366	PRJNA638211
SRR11961367	PRJNA638211
SRR11961368	PRJNA638211
SRR11961369	PRJNA638211
SRR11961370	PRJNA638211
SRR11961371	PRJNA638211
SRR12008186	PRJNA631061
SRR12008187	PRJNA631061
SRR12008188	PRJNA631061
SRR12133951	PRJNA643574
SRR12133952	PRJNA643574
SRR12192415	PRJNA631061
SRR12192416	PRJNA631061
SRR12192417	PRJNA631061
SRR12192418	PRJNA631061
SRR12192419	PRJNA631061
SRR12192420	PRJNA631061
SRR12192421	PRJNA631061
SRR12192422	PRJNA631061
SRR12192423	PRJNA631061
SRR12192424	PRJNA631061
SRR12192425	PRJNA631061
SRR12192426	PRJNA631061
SRR12192427	PRJNA631061
SRR12192429	PRJNA631061
SRR12192430	PRJNA631061
SRR12192431	PRJNA631061
SRR12192432	PRJNA631061
SRR12192433	PRJNA631061
SRR12192434	PRJNA631061
SRR12192435	PRJNA631061
SRR12192436	PRJNA631061
SRR12192437	PRJNA631061
SRR12192438	PRJNA631061
SRR12192439	PRJNA631061
SRR12192440	PRJNA631061
SRR12192441	PRJNA631061
SRR12192442	PRJNA631061
SRR12192444	PRJNA631061
SRR12192445	PRJNA631061
SRR12192446	PRJNA631061
